Target,Horizon,Method,expert,pc,diff_pc_minus_expert,pc_wins,Asset
ETH,5,IV-2SLS,115.007858,115.007858,0.0,False,Ethereum
ETH,1,IV-2SLS,115.446358,115.446358,0.0,False,Ethereum
BTC,5,VAR+Granger,2159.873374,2159.873374,0.0,False,Bitcoin
UMCSENT,3,VAR+Granger,4.270402,4.270402,0.0,False,UMCSENT
BTC,1,VAR+Granger,2151.026701,2151.026701,0.0,False,Bitcoin
UMCSENT,6,VAR+Granger,4.198725,4.198725,0.0,False,UMCSENT
UMCSENT,1,VAR+Granger,4.132788,4.132788,0.0,False,UMCSENT
BTC,21,VAR+Granger,2136.8588,2136.8588,0.0,False,Bitcoin
CPI,3,IV-2SLS,0.68528,0.68528,0.0,False,CPI
CPI,1,IV-2SLS,0.667539,0.667539,0.0,False,CPI
USDJPY,21,IV-2SLS,0.905925,0.905925,0.0,False,USD/JPY
USDJPY,5,IV-2SLS,0.908074,0.908074,0.0,False,USD/JPY
CPI,6,IV-2SLS,0.769244,0.769244,0.0,False,CPI
ETH,21,VAR+Granger,114.406478,114.406478,0.0,False,Ethereum
USDJPY,1,IV-2SLS,0.809237,0.809237,0.0,False,USD/JPY
GBPUSD,21,VAR+Granger,0.005854,0.005854,0.0,False,GBP/USD
ETH,21,IV-2SLS,114.674379,114.674379,0.0,False,Ethereum
GBPUSD,5,VAR+Granger,0.005858,0.00586,1.999999999999398e-06,False,GBP/USD
EURUSD,5,CausalImpact,0.004958,0.004966,8.000000000000194e-06,False,EUR/USD
GBPUSD,21,CausalImpact,0.00594,0.005967,2.7000000000000114e-05,False,GBP/USD
GBPUSD,5,CausalImpact,0.005938,0.005981,4.30000000000005e-05,False,GBP/USD
EURUSD,21,DML,0.005423,0.005471,4.80000000000003e-05,False,EUR/USD
EURUSD,5,DML,0.005544,0.005607,6.299999999999969e-05,False,EUR/USD
GBPUSD,5,DML,0.00652,0.006639,0.00011900000000000018,False,GBP/USD
UMCSENT,1,DML,5.012784,5.013025,0.0002409999999999357,False,UMCSENT
GBPUSD,21,DML,0.006356,0.006638,0.00028200000000000013,False,GBP/USD
NatGas,21,IV-2SLS,0.937211,0.938648,0.0014370000000000216,False,Nat.Gas
USDJPY,5,CausalImpact,0.910687,0.912399,0.0017119999999999358,False,USD/JPY
WTI_oil,5,IV-2SLS,1.88039,1.882288,0.0018979999999999553,False,WTI Oil
USDJPY,21,CausalImpact,0.91086,0.913637,0.0027770000000000294,False,USD/JPY
WTI_oil,5,CausalImpact,1.876376,1.880884,0.0045079999999999565,False,WTI Oil
WTI_oil,1,VAR+Granger,1.906326,1.912742,0.006415999999999977,False,WTI Oil
WTI_oil,1,IV-2SLS,1.875277,1.889413,0.014135999999999926,False,WTI Oil
IndProd,1,VAR+Granger,1.050642,1.067122,0.016479999999999828,False,IndProd
WTI_oil,21,IV-2SLS,1.884774,1.902648,0.017873999999999945,False,WTI Oil
NatGas,5,CausalImpact,1.005549,1.024447,0.01889800000000008,False,Nat.Gas
USDJPY,21,DML,0.92281,0.944271,0.021460999999999952,False,USD/JPY
NatGas,1,CausalImpact,1.015069,1.036607,0.021538000000000057,False,Nat.Gas
CPI,1,CausalImpact,0.547465,0.569836,0.02237100000000003,False,CPI
NatGas,21,CausalImpact,1.044602,1.069199,0.02459699999999998,False,Nat.Gas
WTI_oil,21,DML,1.973018,1.999056,0.026038000000000006,False,WTI Oil
UMCSENT,6,DML,5.364788,5.392488,0.02770000000000028,False,UMCSENT
CPI,1,DML,0.589283,0.620894,0.031610999999999945,False,CPI
WTI_oil,5,DML,1.911008,1.943485,0.03247699999999987,False,WTI Oil
USDJPY,5,DML,0.91727,0.950616,0.03334599999999999,False,USD/JPY
UMCSENT,6,CausalImpact,4.375786,4.411794,0.036008000000000706,False,UMCSENT
UMCSENT,3,CausalImpact,4.152997,4.195965,0.04296800000000012,False,UMCSENT
WTI_oil,1,CausalImpact,1.898476,1.959955,0.06147899999999984,False,WTI Oil
NatGas,21,DML,1.383049,1.467771,0.08472199999999996,False,Nat.Gas
NatGas,1,DML,1.283129,1.370592,0.08746300000000007,False,Nat.Gas
Gold,5,DML,47.249404,47.344453,0.09504900000000305,False,Gold
UMCSENT,1,CausalImpact,4.39461,4.49926,0.10464999999999947,False,UMCSENT
IndProd,1,CausalImpact,1.373001,1.480785,0.1077840000000001,False,IndProd
NatGas,5,DML,1.261828,1.374283,0.11245499999999997,False,Nat.Gas
Gold,21,DML,47.649992,47.857234,0.20724200000000081,False,Gold
UMCSENT,6,IV-2SLS,4.188492,4.43045,0.24195800000000034,False,UMCSENT
IndProd,6,CausalImpact,2.7644,3.051434,0.2870339999999998,False,IndProd
Gold,1,DML,47.917013,48.214966,0.2979529999999997,False,Gold
UMCSENT,1,IV-2SLS,4.565559,4.915078,0.3495189999999999,False,UMCSENT
IndProd,3,CausalImpact,1.569381,1.935312,0.365931,False,IndProd
WTI_oil,1,DML,2.012362,2.453088,0.4407260000000002,False,WTI Oil
IndProd,6,DML,4.161621,4.850535,0.6889139999999996,False,IndProd
ETH,1,DML,123.613457,125.242769,1.6293119999999988,False,Ethereum
BTC,5,CausalImpact,2147.196565,2151.771817,4.575251999999637,False,Bitcoin
