Target,Horizon,MethodNorm,post_shock,pre_shock,Delta,Delta_pct,Asset,Group
WTI_oil,1,ARIMA,,1.917074,,,WTI Oil,A
WTI_oil,1,CausalImpact,2.253200036884342,1.8924736666666666,0.3607263702176753,19.061103801905702,WTI Oil,A
WTI_oil,1,DML,2.2361832117089127,1.893381,0.3428022117089127,18.105294788944207,WTI Oil,A
WTI_oil,1,LSTM,11.748922,5.471731,6.277191,114.72038736649877,WTI Oil,A
WTI_oil,1,Prophet,13.803424,1.80528,11.998144,664.6140207255306,WTI Oil,A
WTI_oil,1,RandomForest,2.364858436240667,2.034038,0.33082043624066726,16.264221026255413,WTI Oil,A
WTI_oil,1,VAR+Granger,2.287099630761218,1.9174163333333334,0.3696832974278845,19.280283098058604,WTI Oil,A
WTI_oil,5,ARIMA,,1.917689,,,WTI Oil,A
WTI_oil,5,CausalImpact,2.231242959596247,1.8910063333333333,0.3402366262629135,17.992357830089585,WTI Oil,A
WTI_oil,5,DML,2.235821502241055,1.8908006666666666,0.34502083557438845,18.24734047720428,WTI Oil,A
WTI_oil,5,LSTM,13.444253,7.95703,5.487223,68.96069261156981,WTI Oil,A
WTI_oil,5,Prophet,13.803424,1.80528,11.998144,664.6140207255306,WTI Oil,A
WTI_oil,5,RandomForest,2.307067676139964,1.895472,0.41159567613996395,21.7146798223776,WTI Oil,A
WTI_oil,5,VAR+Granger,2.2169307433433683,1.8771726666666666,0.33975807667670166,18.099457899044648,WTI Oil,A
WTI_oil,21,ARIMA,,1.921834,,,WTI Oil,A
WTI_oil,21,CausalImpact,2.2491781286645094,1.901555,0.3476231286645093,18.280992581424115,WTI Oil,A
WTI_oil,21,DML,2.297983537573169,1.9044383333333332,0.39354520423983574,20.664633616378026,WTI Oil,A
WTI_oil,21,LSTM,15.62434,17.448988,-1.8246479999999998,-10.457041977995683,WTI Oil,A
WTI_oil,21,Prophet,13.803424,1.80528,11.998144,664.6140207255306,WTI Oil,A
WTI_oil,21,RandomForest,2.2068081864404614,1.905015,0.3017931864404615,15.842037269105028,WTI Oil,A
WTI_oil,21,VAR+Granger,2.22346184105551,1.884518,0.3389438410555101,17.98570461389348,WTI Oil,A
