Asset,Target,Group,Freq,Horizon,ControlSet,Method,Type,RMSE,MAE,MAPE,R2
IndProd,IndProd,C,ME,1,Baseline (no Z),ARIMA,Baseline,0.627251,0.511515,0.5074,0.4538
IndProd,IndProd,C,ME,1,Baseline (no Z),Prophet,Baseline,,,,
IndProd,IndProd,C,ME,1,Baseline (no Z),RandomForest,Baseline,0.763764,0.631258,0.6247,0.2303
IndProd,IndProd,C,ME,1,Baseline (no Z),LSTM,Baseline,0.826774,0.686454,0.6795,0.051
IndProd,IndProd,C,ME,3,Baseline (no Z),ARIMA,Baseline,0.633436,0.521005,0.5168,0.4555
IndProd,IndProd,C,ME,3,Baseline (no Z),Prophet,Baseline,,,,
IndProd,IndProd,C,ME,3,Baseline (no Z),RandomForest,Baseline,1.195002,0.944308,0.934,-0.8741
IndProd,IndProd,C,ME,3,Baseline (no Z),LSTM,Baseline,1.405602,1.102398,1.0865,-1.6068
IndProd,IndProd,C,ME,6,Baseline (no Z),ARIMA,Baseline,0.630983,0.522528,0.5183,0.4597
IndProd,IndProd,C,ME,6,Baseline (no Z),Prophet,Baseline,,,,
IndProd,IndProd,C,ME,6,Baseline (no Z),RandomForest,Baseline,1.011627,0.74778,0.7416,-0.3431
IndProd,IndProd,C,ME,6,Baseline (no Z),LSTM,Baseline,1.363117,1.12933,1.1138,-1.2957
UMCSENT,UMCSENT,C,ME,1,Baseline (no Z),ARIMA,Baseline,4.182202,3.232432,91.8919,-0.0012
UMCSENT,UMCSENT,C,ME,1,Baseline (no Z),Prophet,Baseline,,,,
UMCSENT,UMCSENT,C,ME,1,Baseline (no Z),RandomForest,Baseline,4.112621,3.062103,2020877514.9412,0.0483
UMCSENT,UMCSENT,C,ME,1,Baseline (no Z),LSTM,Baseline,6.875719,5.530847,8.531,0.2737
UMCSENT,UMCSENT,C,ME,3,Baseline (no Z),ARIMA,Baseline,4.230412,3.275,91.6667,-0.0022
UMCSENT,UMCSENT,C,ME,3,Baseline (no Z),Prophet,Baseline,,,,
UMCSENT,UMCSENT,C,ME,3,Baseline (no Z),RandomForest,Baseline,3.988866,2.970945,3587495589.5607,0.0884
UMCSENT,UMCSENT,C,ME,3,Baseline (no Z),LSTM,Baseline,7.714683,6.491765,9.9746,0.1245
UMCSENT,UMCSENT,C,ME,6,Baseline (no Z),ARIMA,Baseline,4.230412,3.275,91.6667,-0.0022
UMCSENT,UMCSENT,C,ME,6,Baseline (no Z),Prophet,Baseline,,,,
UMCSENT,UMCSENT,C,ME,6,Baseline (no Z),RandomForest,Baseline,4.114924,3.123511,3703759889.5395,0.0299
UMCSENT,UMCSENT,C,ME,6,Baseline (no Z),LSTM,Baseline,7.83691,6.714244,10.7529,0.1457
Bitcoin,BTC,D,D,1,Baseline (no Z),ARIMA,Baseline,2135.585438,1535.133643,122.9042,-0.003
Bitcoin,BTC,D,D,1,Baseline (no Z),Prophet,Baseline,,,,
Bitcoin,BTC,D,D,1,Baseline (no Z),RandomForest,Baseline,2152.670873,1547.830265,136.8062,-0.0149
Bitcoin,BTC,D,D,1,Baseline (no Z),LSTM,Baseline,9447.608943,8209.910324,9.2018,0.6418
Bitcoin,BTC,D,D,5,Baseline (no Z),ARIMA,Baseline,2138.069942,1538.348278,122.9843,-0.0031
Bitcoin,BTC,D,D,5,Baseline (no Z),Prophet,Baseline,,,,
Bitcoin,BTC,D,D,5,Baseline (no Z),RandomForest,Baseline,2149.681907,1548.355983,174.301,-0.0121
Bitcoin,BTC,D,D,5,Baseline (no Z),LSTM,Baseline,15107.192787,12352.770694,13.9698,0.0902
Bitcoin,BTC,D,D,21,Baseline (no Z),ARIMA,Baseline,2142.495915,1541.737086,122.7191,-0.0027
Bitcoin,BTC,D,D,21,Baseline (no Z),Prophet,Baseline,,,,
Bitcoin,BTC,D,D,21,Baseline (no Z),RandomForest,Baseline,2145.116149,1550.41824,150.1781,-0.0008
Bitcoin,BTC,D,D,21,Baseline (no Z),LSTM,Baseline,15776.947776,13134.897055,14.2483,0.0414
Ethereum,ETH,D,D,1,Baseline (no Z),ARIMA,Baseline,114.605548,78.359525,538.5164,-0.005
Ethereum,ETH,D,D,1,Baseline (no Z),Prophet,Baseline,,,,
Ethereum,ETH,D,D,1,Baseline (no Z),RandomForest,Baseline,115.926074,79.027459,690.5029,-0.0254
Ethereum,ETH,D,D,1,Baseline (no Z),LSTM,Baseline,875.47987,846.266686,32.9079,-0.0248
Ethereum,ETH,D,D,5,Baseline (no Z),ARIMA,Baseline,114.656546,78.33351,539.4813,-0.0053
Ethereum,ETH,D,D,5,Baseline (no Z),Prophet,Baseline,,,,
Ethereum,ETH,D,D,5,Baseline (no Z),RandomForest,Baseline,115.921742,79.203493,1033.3313,-0.0253
Ethereum,ETH,D,D,5,Baseline (no Z),LSTM,Baseline,744.740561,676.487416,28.2633,0.2637
Ethereum,ETH,D,D,21,Baseline (no Z),ARIMA,Baseline,114.983091,78.628971,542.5539,-0.0052
Ethereum,ETH,D,D,21,Baseline (no Z),Prophet,Baseline,,,,
Ethereum,ETH,D,D,21,Baseline (no Z),RandomForest,Baseline,114.499638,78.542815,3332.8488,0.0056
Ethereum,ETH,D,D,21,Baseline (no Z),LSTM,Baseline,866.110672,760.389036,32.5943,0.0381
